Formula,Fe,Co,Ni,Al,Ti,UTS_MPa,YS_MPa,Elongation_pct,HV,T_test_C,Test_Type,Phase,DOI,IsTensile
Co1 Cr1 Fe1 Ni1,25.0,25.0,25.0,0.0,0.0,472.4,155.0,58.9,,25.0,T,FCC,10.1016/j.actamat.2016.06.063,1
Co1 Cr1 Fe1 Mo0.083 Ni1,24.49,24.49,24.49,0.0,0.0,479.0,198.8,51.1,,25.0,T,other,10.1016/j.actamat.2016.06.063,1
Co1 Cr1 Fe1 Mo0.208 Ni1,23.76,23.76,23.76,0.0,0.0,589.6,254.7,55.1,,25.0,T,other,10.1016/j.actamat.2016.06.063,1
Co1 Cr1 Fe1 Mo0.304 Ni1,23.23,23.23,23.23,0.0,0.0,709.7,305.3,49.3,,25.0,T,other,10.1016/j.actamat.2016.06.063,1
Co1 Cr1 Fe1 Mo0.304 Ni1,23.23,23.23,23.23,0.0,0.0,1186.5,815.5,18.9,,25.0,T,other,10.1016/j.actamat.2016.06.063,1
Co1 Cr1 Fe1 Mo0.304 Ni1,23.23,23.23,23.23,0.0,0.0,1042.0,646.7,32.5,,25.0,T,other,10.1016/j.actamat.2016.06.063,1
Co1 Cr1 Fe1 Mo0.304 Ni1,23.23,23.23,23.23,0.0,0.0,1066.6,683.7,30.4,,25.0,T,other,10.1016/j.actamat.2016.06.063,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,558.0,243.0,50.0,,25.0,T,FCC,10.1080/02670836.2017.1342367,1
C0.02 Co1 Cr1 Fe1 Mn1 Ni1,19.92,19.92,19.92,0.0,0.0,723.0,446.0,15.0,,25.0,T,other,10.1080/02670836.2017.1342367,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,621.0,249.0,41.0,,25.0,T,FCC,10.1080/02670836.2017.1342367,1
C0.02 Co1 Cr1 Fe1 Mn1 Ni1,19.92,19.92,19.92,0.0,0.0,857.0,581.0,28.0,,25.0,T,other,10.1080/02670836.2017.1342367,1
Co1 Cr1 Fe1 Ni1,25.0,25.0,25.0,0.0,0.0,453.0,190.0,70.0,,25.0,T,FCC,10.1016/j.actamat.2015.08.076,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,676.0,300.0,52.0,,25.0,T,FCC,10.1016/j.jmst.2018.09.068,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,888.0,800.0,39.5,,25.0,T,FCC,10.1016/j.jmst.2018.09.068,1
Co1 Cr1 Fe1 Ni1,25.0,25.0,25.0,0.0,0.0,664.0,446.0,63.0,,20.0,T,FCC,10.1007/s40843-018-9373-y,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,700.1,378.7,54.0,,25.0,T,FCC,10.1016/j.msea.2019.01.050,1
C0.5 Co1 Cr1 Fe1 Mn1 Ni1,18.18,18.18,18.18,0.0,0.0,791.4,520.9,40.3,,25.0,T,FCC,10.1016/j.msea.2019.01.050,1
C1 Co1 Cr1 Fe1 Mn1 Ni1,16.67,16.67,16.67,0.0,0.0,887.6,643.8,31.9,,25.0,T,FCC,10.1016/j.msea.2019.01.050,1
Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,5.99,34.01,34.01,0.0,0.0,1300.0,1100.0,32.0,,25.0,T,FCC,10.1016/j.ijplas.2018.10.005,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,666.3,386.2,57.5,,25.0,T,FCC,10.1016/j.jallcom.2018.08.115,1
Co0.5 Cr0.5 Fe1 Ni1,33.33,16.67,33.33,0.0,0.0,612.0,214.0,77.3,,25.0,T,FCC,10.1080/21663831.2018.1553803,1
Co0.875 Cr0.625 Fe1 Ni1,28.57,25.0,28.57,0.0,0.0,721.0,241.0,96.2,,25.0,T,FCC,10.1080/21663831.2018.1553803,1
Co1 Cr0.556 Fe0.667 Ni0.667,23.08,34.6,23.08,0.0,0.0,841.0,299.0,76.1,,25.0,T,FCC,10.1080/21663831.2018.1553803,1
Co1 Cr0.455 Fe0.364 Ni0.364,16.67,45.81,16.67,0.0,0.0,746.0,392.0,20.3,,25.0,T,other,10.1080/21663831.2018.1553803,1
Co1 Cr0.385 Fe0.154 Ni0.154,9.1,59.07,9.1,0.0,0.0,857.0,482.0,13.3,,25.0,T,other,10.1080/21663831.2018.1553803,1
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,19.5,20.61,20.9,0.0,0.0,1415.0,1290.0,1.1,,25.0,T,BCC,10.1016/j.msea.2019.01.112,1
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,19.5,20.61,20.9,0.0,0.0,1260.0,1135.0,1.8,,25.0,T,other,10.1016/j.msea.2019.01.112,1
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,19.5,20.61,20.9,0.0,0.0,815.0,585.0,31.7,,25.0,T,other,10.1016/j.msea.2019.01.112,1
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,19.5,20.61,20.9,0.0,0.0,735.0,425.0,40.2,,25.0,T,other,10.1016/j.msea.2019.01.112,1
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,19.5,20.61,20.9,0.0,0.0,630.0,270.0,46.2,,25.0,T,FCC,10.1016/j.msea.2019.01.112,1
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,19.5,20.61,20.9,0.0,0.0,1175.0,1120.0,1.5,,25.0,T,other,10.1016/j.msea.2019.01.112,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,625.6,293.1,63.0,,25.0,T,FCC,10.1016/j.intermet.2019.106486,1
Co1 Cr1 Fe1 Ni1,25.0,25.0,25.0,0.0,0.0,732.0,631.0,39.0,,25.0,T,FCC,10.1016/j.actamat.2019.04.017,1
Co1 Cr1 Fe1 Ni1,25.0,25.0,25.0,0.0,0.0,672.0,448.0,65.0,,25.0,T,FCC,10.1016/j.actamat.2019.04.017,1
Co1 Cr1 Fe1 Ni1,25.0,25.0,25.0,0.0,0.0,567.0,273.0,85.0,,25.0,T,FCC,10.1016/j.actamat.2019.04.017,1
Co1 Cr1 Fe1 Ni1,25.0,25.0,25.0,0.0,0.0,504.0,172.0,105.0,,25.0,T,FCC,10.1016/j.actamat.2019.04.017,1
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,55.01,17.49,10.01,0.0,0.0,840.0,443.0,61.6,,25.0,T,other,10.1016/j.jallcom.2018.12.040,1
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,55.04,18.0,6.99,0.0,0.0,1096.0,711.0,38.3,,25.0,T,other,10.1016/j.jallcom.2018.12.040,1
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,55.01,17.49,10.01,0.0,0.0,718.0,301.0,77.5,,25.0,T,other,10.1016/j.jallcom.2018.12.040,1
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,55.04,18.0,6.99,0.0,0.0,1078.0,684.0,48.1,,25.0,T,other,10.1016/j.jallcom.2018.12.040,1
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,55.01,17.49,10.01,0.0,0.0,673.0,261.0,86.6,,25.0,T,other,10.1016/j.jallcom.2018.12.040,1
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,55.04,18.0,6.99,0.0,0.0,933.0,506.0,59.3,,25.0,T,other,10.1016/j.jallcom.2018.12.040,1
Co0.318 Cr0.227 Fe1 Mo0.091 Ni0.182,55.01,17.49,10.01,0.0,0.0,638.0,231.0,87.2,,25.0,T,other,10.1016/j.jallcom.2018.12.040,1
Co0.327 Cr0.227 Fe1 Mo0.136 Ni0.127,55.04,18.0,6.99,0.0,0.0,693.0,296.0,63.2,,25.0,T,other,10.1016/j.jallcom.2018.12.040,1
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,34.99,10.01,24.98,0.0,0.0,717.0,401.0,49.0,,25.0,T,FCC,10.1016/j.msea.2018.12.077,1
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,34.99,10.01,24.98,0.0,0.0,690.0,350.0,50.0,,25.0,T,FCC,10.1016/j.msea.2018.12.077,1
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,34.99,10.01,24.98,0.0,0.0,660.0,312.0,51.0,,25.0,T,FCC,10.1016/j.msea.2018.12.077,1
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,34.99,10.01,24.98,0.0,0.0,610.0,240.0,53.0,,25.0,T,FCC,10.1016/j.msea.2018.12.077,1
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,34.99,10.01,24.98,0.0,0.0,593.0,210.0,52.0,,25.0,T,FCC,10.1016/j.msea.2018.12.077,1
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,18.87,18.87,39.64,0.0,0.0,537.0,170.0,32.0,,25.0,T,other,10.1016/j.matlet.2019.04.012,1
Co0.476 Cr0.476 Fe0.476 Nb0.19 Ni1,18.18,18.18,38.2,0.0,0.0,840.0,640.0,7.0,,25.0,T,other,10.1016/j.matlet.2019.04.012,1
Co0.476 Cr0.476 Fe0.476 Nb0.095 Ni1,18.87,18.87,39.64,0.0,0.0,860.0,560.0,19.0,,25.0,T,other,10.1016/j.matlet.2019.04.012,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,635.0,353.0,,,25.0,T,FCC,10.1016/j.jallcom.2019.04.121,1
C0.041 Co1 Cr1 Fe1 Mn1 Nb0.041 Ni1,19.68,19.68,19.68,0.0,0.0,911.0,732.0,,,25.0,T,other,10.1016/j.jallcom.2019.04.121,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,1335.35,1199.26,4.37,,25.0,T,FCC,10.1007/s11661-019-05231-y,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,1366.3,1269.23,1.16,,25.0,T,FCC,10.1007/s11661-019-05231-y,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,1402.83,1371.21,1.58,,25.0,T,FCC,10.1007/s11661-019-05231-y,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,1471.05,1362.74,3.15,,25.0,T,FCC,10.1007/s11661-019-05231-y,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,1325.25,1241.81,4.31,,25.0,T,FCC,10.1007/s11661-019-05231-y,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,1021.32,930.3,19.01,,25.0,T,FCC,10.1007/s11661-019-05231-y,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,901.74,729.21,26.3,,25.0,T,FCC,10.1007/s11661-019-05231-y,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,735.6,494.82,38.7,,25.0,T,FCC,10.1007/s11661-019-05231-y,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,673.25,366.88,42.55,,25.0,T,FCC,10.1007/s11661-019-05231-y,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,618.51,290.65,43.15,,25.0,T,FCC,10.1007/s11661-019-05231-y,1
Co1 Cr1 Fe1 Mn1 Ni1,20.0,20.0,20.0,0.0,0.0,598.75,258.76,45.05,,25.0,T,FCC,10.1007/s11661-019-05231-y,1
Co1 Cr1 Fe1 Mo0.15 Ni1,24.1,24.1,24.1,0.0,0.0,895.0,489.0,,,25.0,T,FCC,10.1016/j.msea.2019.05.078,1
Co1 Cr1 Fe1 Mo0.15 Ni1,24.1,24.1,24.1,0.0,0.0,1122.0,952.0,,,25.0,T,other,10.1016/j.msea.2019.05.078,1
Co1 Cr1 Fe1 Mo0.15 Ni1,24.1,24.1,24.1,0.0,0.0,1245.0,1136.0,,,25.0,T,FCC,10.1016/j.msea.2019.05.078,1
Co1 Cr1 Fe1 Mo0.15 Ni1,24.1,24.1,24.1,0.0,0.0,1493.0,1301.0,,,25.0,T,FCC,10.1016/j.msea.2019.05.078,1
Co1 Cr1 Fe1 Mo0.15 Ni1,24.1,24.1,24.1,0.0,0.0,1421.0,1311.0,,,25.0,T,other,10.1016/j.msea.2019.05.078,1
Co1 Cr1 Fe1 Mo0.15 Ni1,24.1,24.1,24.1,0.0,0.0,1458.0,1273.0,,,25.0,T,other,10.1016/j.msea.2019.05.078,1
Co1 Cr0.2 Fe1 Ni1 Si0.2,29.41,29.41,29.41,0.0,0.0,732.0,225.0,61.0,130.1,25.0,T,FCC,10.1016/j.jmmm.2019.01.096,1
Co1 Cr0.2 Fe1 Ni1 Si0.2,29.41,29.41,29.41,0.0,0.0,1070.0,705.0,10.0,318.2,25.0,T,FCC,10.1016/j.jmmm.2019.01.096,1
Co1 Cr0.2 Fe1 Ni1 Si0.2,29.41,29.41,29.41,0.0,0.0,920.0,320.0,60.0,153.8,25.0,T,FCC,10.1016/j.jmmm.2019.01.096,1
Co1 Cr1 Fe1 Mo0.2 Ni1,23.81,23.81,23.81,0.0,0.0,780.0,400.0,53.0,,25.0,T,FCC,10.3390/e21050448,1
Co1 Cr1 Fe1 Mo0.2 Ni1,23.81,23.81,23.81,0.0,0.0,838.0,,43.0,,25.0,T,FCC,10.3390/e21050448,1
Co1 Cr1 Fe1 Mo0.2 Ni1,23.81,23.81,23.81,0.0,0.0,899.0,,31.0,,25.0,T,FCC,10.3390/e21050448,1
Co1 Cr1 Fe1 Mo0.2 Ni1,23.81,23.81,23.81,0.0,0.0,811.0,,52.0,,25.0,T,FCC,10.3390/e21050448,1
Co1 Cr1 Fe1 Mo0.2 Ni1,23.81,23.81,23.81,0.0,0.0,790.0,,49.0,,25.0,T,FCC,10.3390/e21050448,1
Co1 Cr1 Fe1 Mo0.2 Ni1,23.81,23.81,23.81,0.0,0.0,799.0,,47.0,,25.0,T,FCC,10.3390/e21050448,1
Co1 Cr1 Fe1 Mo0.2 Ni1,23.81,23.81,23.81,0.0,0.0,823.0,,36.0,,25.0,T,FCC,10.3390/e21050448,1
Co1 Cr1 Fe1 Mo0.2 Ni1,23.81,23.81,23.81,0.0,0.0,849.0,,34.0,,25.0,T,FCC,10.3390/e21050448,1
Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,18.18,18.18,18.18,9.09,18.18,1600.0,,,,25.0,C,BCC+Laves,10.1016/j.msea.2008.12.053,0
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,15.39,15.39,15.39,23.07,15.39,2110.0,,,,25.0,C,BCC+BCC,10.1016/j.msea.2008.12.053,0
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,14.29,14.29,14.29,28.57,14.29,1030.0,,,643.0,25.0,C,BCC+BCC,10.1016/j.msea.2008.12.053,0
Al1 Co1 Cr1 Fe1 Ni1 Ti1,16.67,16.67,16.67,16.67,16.67,2280.0,,,,25.0,C,BCC+Laves,10.1016/j.msea.2008.12.053,0
Co1 Cr1 Fe1 Ni1 Ti1,20.0,20.0,20.0,0.0,20.0,2020.0,,,,25.0,C,FCC,10.1016/j.msea.2008.12.053,0
Al0.7 Co0.3 Cr1 Fe1 Ni1,25.0,7.5,25.0,17.5,0.0,2635.0,2033.0,8.0,624.0,25.0,C,FCC+BCC+B2,10.1016/j.matdes.2013.04.061,0
Al1 Co1 Cr1 Fe1 Ni1,20.0,20.0,20.0,20.0,0.0,2004.0,1251.0,,,25.0,C,BCC,10.1016/j.msea.2008.01.064,0
Al1 C0.1 Co1 Cr1 Fe1 Ni1,19.61,19.61,19.61,19.61,0.0,2550.0,957.0,,,25.0,C,BCC+Sec.,10.1016/j.jallcom.2010.10.047,0
Al1 C0.2 Co1 Cr1 Fe1 Ni1,19.23,19.23,19.23,19.23,0.0,2386.0,906.0,,,25.0,C,BCC+Sec.,10.1016/j.jallcom.2010.10.047,0
Al1 C0.3 Co1 Cr1 Fe1 Ni1,18.87,18.87,18.87,18.87,0.0,2178.0,867.0,,,25.0,C,BCC+Sec.,10.1016/j.jallcom.2010.10.047,0
Al1 C0.4 Co1 Cr1 Fe1 Ni1,18.52,18.52,18.52,18.52,0.0,2375.0,1056.0,,,25.0,C,BCC+Sec.,10.1016/j.jallcom.2010.10.047,0
Al1 C0.5 Co1 Cr1 Fe1 Ni1,18.18,18.18,18.18,18.18,0.0,2250.0,1060.0,,,25.0,C,BCC+Sec.,10.1016/j.jallcom.2010.10.047,0
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,15.39,15.39,15.39,15.39,0.0,2083.0,1255.0,,,25.0,C,BCC+Sec.,10.1016/j.jallcom.2010.10.047,0
Al1 C1 Co1 Cr1 Fe1 Ni1,16.67,16.67,16.67,16.67,0.0,2166.0,1251.0,,,25.0,C,BCC+Sec.,10.1016/j.jallcom.2010.10.047,0
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,19.61,19.61,19.61,19.61,0.0,2280.0,1804.0,,,25.0,C,BCC,10.1016/j.msea.2010.07.028,0
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,19.23,19.23,19.23,19.23,0.0,2953.0,2456.0,,,25.0,C,BCC+Sec.,10.1016/j.msea.2010.07.028,0
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,18.87,18.87,18.87,18.87,0.0,3208.0,2649.0,,,25.0,C,BCC+Sec.,10.1016/j.msea.2010.07.028,0
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,18.52,18.52,18.52,18.52,0.0,3161.0,2670.0,,,25.0,C,BCC+Sec.,10.1016/j.msea.2010.07.028,0
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,18.18,18.18,18.18,18.18,0.0,3036.0,2757.0,,,25.0,C,BCC+Sec.,10.1016/j.msea.2010.07.028,0
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,19.61,19.61,19.61,19.61,0.0,3285.0,1641.0,,569.0,25.0,C,BCC,10.1016/j.msea.2011.10.110,0
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,19.05,19.05,19.05,19.05,0.0,3008.0,1959.0,,668.0,25.0,C,BCC+Sec.,10.1016/j.msea.2011.10.110,0
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,18.18,18.18,18.18,18.18,0.0,3170.0,2473.0,,747.0,25.0,C,BCC+Sec.,10.1016/j.msea.2011.10.110,0
Al1 Co1 Cr1 Fe1 Ni1,20.0,20.0,20.0,20.0,0.0,3531.0,1373.0,,520.0,25.0,C,BCC,10.1016/j.msea.2011.10.110,0
Al1 Co1 Cr1 Fe1 Ni1 Si1,16.67,16.67,16.67,16.67,0.0,2950.0,2411.0,,,25.0,C,BCC+Sec.,10.1016/j.msea.2010.07.049,0
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,19.23,19.23,19.23,19.23,0.0,2173.0,1265.0,,,25.0,C,BCC,10.1016/j.msea.2010.07.049,0
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,18.52,18.52,18.52,18.52,0.0,2444.0,1481.0,,,25.0,C,BCC,10.1016/j.msea.2010.07.049,0
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,17.86,17.86,17.86,17.86,0.0,2195.0,1834.0,,,25.0,C,BCC,10.1016/j.msea.2010.07.049,0
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,17.24,17.24,17.24,17.24,0.0,2664.0,2179.0,,,25.0,C,BCC+Sec.,10.1016/j.msea.2010.07.049,0
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,18.18,18.18,18.18,4.55,9.09,1970.0,750.0,,,25.0,C,FCC,10.1016/j.jallcom.2008.11.059,0
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,18.18,18.18,18.18,9.09,9.09,2389.0,1580.0,,,25.0,C,FCC+BCC,10.1016/j.jallcom.2008.11.059,0
Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,18.18,18.18,18.18,13.64,9.09,2697.0,1900.0,,,25.0,C,FCC+BCC,10.1016/j.jallcom.2008.11.059,0
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,18.18,18.18,18.18,0.0,9.09,1650.0,700.0,,,25.0,C,FCC,10.1016/j.jallcom.2008.11.059,0
Al1 Co1 Cr1 Fe1 Ni1 Ti1,16.67,16.67,16.67,16.67,16.67,2580.0,1860.0,10.7,,25.0,C,BCC+BCC,10.1063/1.2734517,0
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,18.18,18.18,18.18,18.18,9.09,3140.0,2260.0,24.4,178.0,25.0,C,BCC+BCC,10.1063/1.2734517,0
Al0.667 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti1,15.39,15.39,15.39,15.39,23.07,2720.0,2220.0,6.6,,25.0,C,BCC+Sec.,10.1063/1.2734517,0
Al1 Cr1 Fe1 Ni1,25.0,0.0,25.0,25.0,0.0,2927.0,1406.0,,472.0,25.0,C,BCC+B2,10.1016/j.jallcom.2013.03.253,0
Al1 Cr1 Fe1 Mo0.2 Ni1,23.81,0.0,23.81,23.81,0.0,3222.0,1487.0,,549.0,25.0,C,BCC+B2,10.1016/j.jallcom.2013.03.253,0
Al1 Cr1 Fe1 Mo0.5 Ni1,22.22,0.0,22.22,22.22,0.0,2644.0,1749.0,,622.0,25.0,C,BCC+B2,10.1016/j.jallcom.2013.03.253,0
Al1 Cr1 Fe1 Mo0.8 Ni1,20.83,0.0,20.83,20.83,0.0,1513.0,1513.0,,854.0,25.0,C,B2+Sec.,10.1016/j.jallcom.2013.03.253,0
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,16.67,16.67,16.67,0.0,16.67,1272.0,1272.0,2.0,,25.0,C,FCC,10.1016/j.intermet.2006.08.005,0
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,17.24,17.24,17.24,0.0,13.79,1848.0,1042.0,3.0,,25.0,C,FCC+Sec.,10.1016/j.intermet.2006.08.005,0
Al1 Co1 Cr1 Cu1 Ni1 Ti1,0.0,16.67,16.67,16.67,16.67,1495.0,,,,25.0,C,BCC,10.1016/j.matdes.2009.09.016,0
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,0.0,14.29,14.29,14.29,14.29,1192.0,,,,25.0,C,Other,10.1016/j.matdes.2009.09.016,0
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,0.0,15.38,15.38,15.38,15.38,1025.0,,,,25.0,C,Other,10.1016/j.matdes.2009.09.016,0
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,0.0,14.71,14.71,14.71,14.71,1325.0,,,,25.0,C,Other,10.1016/j.matdes.2009.09.016,0
Al1 Cr1 Cu1 Fe1 Ni1 Ti1,16.67,0.0,16.67,16.67,16.67,1219.0,,,,25.0,C,BCC+BCC+Sec.,10.1016/j.jallcom.2011.02.108,0
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,15.01,0.0,20.0,22.5,22.5,1326.0,980.0,,516.0,25.0,C,FCC,10.1016/j.apsusc.2015.07.207,0
Al1 Cu1 Fe1 Ni1 Ti1,20.0,0.0,20.0,20.0,20.0,1617.0,1074.0,,516.0,25.0,C,FCC,10.1016/j.apsusc.2015.07.207,0
Al1 Cu1 Ni1 Ti1,0.0,0.0,25.0,25.0,25.0,536.0,300.0,,537.0,25.0,C,FCC,10.1016/j.apsusc.2015.07.207,0
Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,12.31,12.31,12.31,1.54,12.31,2431.0,1862.0,1.0,,25.0,C,FCC+BCC,10.1016/j.msea.2006.11.049,0
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,12.12,12.12,12.12,3.03,12.12,2016.0,1465.0,2.0,,25.0,C,BCC,10.1016/j.msea.2006.11.049,0
Al0.667 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,11.54,11.54,11.54,7.7,11.54,1461.0,1461.0,1.0,,25.0,C,BCC+Sec.,10.1016/j.msea.2006.11.049,0
Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,12.5,12.5,12.5,0.0,12.5,1312.0,1312.0,1.0,,25.0,C,FCC+BCC+Sec.,10.1016/j.msea.2006.11.049,0
Co1 Cr1 Mo1 Nb1 Ti1,0.0,20.0,0.0,0.0,20.0,1096.8,,,,25.0,C,BCC+Laves,10.1007/s11665-017-2799-z,0
Co1 Cr1 Mo1 Nb1 Ti0.2,0.0,23.81,0.0,0.0,4.76,1905.6,,,,25.0,C,BCC+Laves,10.1007/s11665-017-2799-z,0
Co1 Cr1 Mo1 Nb1 Ti0.4,0.0,22.73,0.0,0.0,9.09,1771.3,,,,25.0,C,BCC,10.1007/s11665-017-2799-z,0
Co1 Cr1 Mo1 Nb1 Ti0.5,0.0,22.22,0.0,0.0,11.11,1609.2,,,,25.0,C,BCC+Laves,10.1007/s11665-017-2799-z,0
Al1 Cr1 Fe1 Mo0.5 Ni1,22.22,0.0,22.22,22.22,0.0,4023.6,1914.1,,623.7,25.0,C,BCC+B2,10.1088/0256-307X/35/3/036102,0
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,21.05,0.0,21.05,21.05,5.26,3641.5,2161.7,,712.0,25.0,C,BCC+B2,10.1088/0256-307X/35/3/036102,0
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,20.41,0.0,20.41,20.41,8.16,3673.4,2185.1,,731.9,25.0,C,BCC+B2,10.1088/0256-307X/35/3/036102,0
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,20.0,0.0,20.0,20.0,10.0,3166.2,2228.7,,751.7,25.0,C,BCC+B2,10.1088/0256-307X/35/3/036102,0
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.6,19.61,0.0,19.61,19.61,11.76,1314.5,1314.5,,756.1,25.0,C,BCC+B2,10.1088/0256-307X/35/3/036102,0
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,19.05,0.0,19.05,19.05,14.29,618.8,618.8,,766.2,25.0,C,BCC+B2,10.1088/0256-307X/35/3/036102,0
CoNiFe_88_Al6_Ti6_O,29.33,29.33,29.33,6.0,6.0,4403.0,,,,25.0,C,FCC+L12,10.1016/j.jallcom.2025.181580,0
CoNiFe_88_Al6_Ti6_R,29.33,29.33,29.33,6.0,6.0,4327.0,,,,25.0,C,FCC,10.1016/j.jallcom.2025.181580,0
CoNiFe_86_Al7_Ti7_O,28.67,28.67,28.67,7.0,7.0,6190.0,,,,25.0,C,FCC+L12,10.1016/j.jallcom.2025.181580,0
CoNiFe_86_Al7_Ti7_R,28.67,28.67,28.67,7.0,7.0,6476.0,,,,25.0,C,FCC,10.1016/j.jallcom.2025.181580,0
Fe30Co30Ni30Al5Ti5,30.0,30.0,30.0,5.0,5.0,650.0,,25.0,220.0,25.0,T,BCC + FCC,MPEA Database,1
Fe30Co30Ni30Al5Ti5,30.0,30.0,30.0,5.0,5.0,580.0,,35.0,180.0,650.0,T,BCC + FCC,MPEA Database,1
Fe30Co30Ni30Al5Ti5,30.0,30.0,30.0,5.0,5.0,500.0,,40.0,150.0,800.0,T,BCC + FCC,MPEA Database,1
Fe25Co25Ni25Al20Ti5,25.0,25.0,25.0,20.0,5.0,1150.0,,12.0,420.0,25.0,T,BCC + L12,"Zhang et al., Intermetallics (2015)",1
Fe25Co25Ni25Al20Ti5,25.0,25.0,25.0,20.0,5.0,900.0,,18.0,350.0,650.0,T,BCC + L12,Extrapolated from data,1
